"date","BAYER","SIEMENS","SAP","DAIMLER","ALLIANZ","BASF","DEUTSCHE_TELEKOM","MUENCHENER_RUECK","BMW","FRESENIUS","DEUTSCHE_BANK","DEUTSCHE_POST","LINDE","VOLKSWAGEN","CONTINENTAL","VDAX","DAX"
"2010-01-01",55.96,49.2892409886183,29.8460259689837,30.4665624554717,66.1373830464756,35.1922907716926,7.10361102933381,80.9971754354056,27.9717540050412,13.514692363998,37.7193834736588,10.6066278848913,75.0555892245647,57.3649230667522,33.8694481091951,20.16,5957.43
"2010-01-04",56.18,50.1566579379586,29.5656542098812,30.691604214141,66.9721635553812,36.0708833968027,7.3176168037841,80.9822684370739,28.1564731352632,13.6546604091947,38.7799749556176,10.9763064244463,75.5550085445,56.0647386215926,33.6892685145775,20.16,6048.3
"2010-01-05",55.29,50.2871542931691,29.4842559572385,30.5197541438845,67.3516092412474,35.6740996306239,7.24167927091465,81.0568034287325,28.4995229485326,13.3747243188012,39.5738157733963,11.0195666790751,73.9318957547102,55.1579254166195,36.0989458176445,19.9,6031.86
"2010-01-06",54.92,50.4560319293238,29.9545569725073,30.4174624353985,67.9587223386333,35.8805891415945,7.05873885082004,80.6095934787808,28.846970836331,13.3622827147837,38.9857431360552,11.137549191699,75.13585304384,56.5185815275842,36.3330713986745,19.67,6034.33
"2010-01-07",54.3,51.2390100605867,31.0941325095049,30.1392289883165,67.412320550986,35.8360521882479,6.94483255151586,80.8704659495859,29.1108553080767,13.3436203087575,39.4441421314959,11.1218181900158,74.6899429367549,57.408815199364,41.2685896955499,19.799999,6019.36
"2010-01-08",53.75,51.430916465308,31.1031767597985,30.1474123249954,66.8052074536001,35.6740996306239,6.98970473002963,80.4977909912929,28.7809997183946,13.063684218364,40.4136033436318,11.4207072219965,74.2529510318115,57.984735826079,42.2754915319384,19.1,6037.61
"2010-01-11",53.64,51.6304991262182,31.3383272674329,30.4051874303801,66.0842606504543,35.329950445673,7.02422179042483,80.6841284704394,28.3895710853052,13.0792362233858,40.1083093073742,11.3263212118973,74.5561699046293,58.0716474842923,39.7757244315626,19.83,6040.5
"2010-01-12",53.4,50.7093483835559,30.8861147527514,29.4395537022722,65.4695586393511,33.9128655664631,6.99315643606915,80.7959309579274,27.4000043162589,12.8770601581016,38.9556716734838,11.0352976807583,73.967568563277,56.9373456317668,37.9150434326497,20.33,5943
"2010-01-13",54.46,51.4462689776857,31.4649467715438,29.6850538026387,66.1373830464756,34.5120900296718,7.01386667230627,81.1313384203911,27.7430541295283,13.4307115368799,38.7114364444777,11.1926076975902,74.9128979902974,55.7855916390378,39.5732169602077,20.09,5963.14
"2010-01-14",55.08,51.6151466138405,31.410681269782,30.2783457118575,65.2115355729621,34.2934540768794,7.01386667230627,80.6468609746101,27.9981424522158,13.6857644192385,38.574283098689,11.0667596841247,75.3409716930991,55.4537391930686,39.0251371947964,19.139999,5988.88
"2010-01-15",53.3,51.0471036558654,30.8047165001087,29.8855455512712,64.2022100485581,33.6699367300271,6.93447743339729,79.1934286372673,27.8046271729356,13.8412844694571,37.1698542083952,10.807198156352,74.0389141804106,53.988544762285,37.9940040768192,19.244999,5875.97
"2010-01-18",54.22,51.2850675977198,30.673574870851,30.0860372999038,64.4146996326431,34.3663327278103,6.8695853598543,80.8704659495859,28.1300846880886,13.7666348453521,37.5052960307331,10.9723736740255,74.2707874360949,53.8919471662587,38.8300579562602,19.559999,5918.55
"2010-01-19",54.7,51.845434299506,31.0624776334772,30.1228623149588,64.9231568517038,34.6497497036522,6.99660814210867,82.3238982869287,28.5786882900563,13.9968045196757,37.7110642111708,10.9684409236047,74.8772251817306,53.2292021420313,39.3874272092208,19.040001,5976.48
"2010-01-20",53.3,50.7016721273671,30.8861147527514,29.2308786169608,63.2915404024792,33.8480845434135,6.92412231527873,81.7648858494892,27.9981424522158,14.1523245698943,37.0778843799726,10.6262916369953,73.1470939662404,51.9895766233778,37.7617668880855,20.83,5851.53
"2010-01-21",50.9,49.6500250294944,29.9816897233882,28.3061615722473,62.138025517446,33.1112004062243,6.82195181650892,80.8704659495859,27.2460717077406,14.1989805849599,35.9327264499704,10.3981921125891,71.7023452192847,50.2619020039338,37.6828062439161,22.91,5746.97
"2010-01-22",50.9,49.4274136000177,29.7601055911943,27.577844607827,61.4702011103216,32.2366565950548,6.73980121276832,81.0940709245618,26.9118180435294,14.2300845950036,34.0399034251735,10.225151094074,70.3735331001711,49.7298735098306,37.9011092013257,23.059999,5695.32
"2010-01-25",50.55,49.7421401037606,29.6470524625239,27.3528028491577,61.6143904709507,32.5322200127186,6.74187223639203,81.0195359329032,26.7183027642493,14.0030253216844,34.6856003118583,10.2172855932324,69.7403407481102,50.253088673131,37.613135087296,23.719999,5631.37
"2010-01-26",51.02,52.1985420841932,29.7691498414879,27.9133614116611,61.621979384668,32.3702674550946,6.74394326001575,82.3238982869287,26.6875162425456,13.8101804594134,34.1168375223104,10.0757065780837,70.0881506316366,50.5243821925942,37.6224245748454,22.540001,5668.93
"2010-01-27",50.85,52.5522751033827,29.5837427104684,26.8577109800855,61.0376330284341,32.5727081521246,6.67836084526485,82.3984332785873,26.0366012122396,13.7790764493696,33.3381087593264,9.95772406545972,69.1071483960494,49.0056096913859,36.3683437556839,23.110001,5643.2
"2010-01-28",49.465,51.3495079992963,29.2581496998977,26.7185942565445,60.7644321346105,32.7144166400456,6.54926703938677,81.8394208411478,26.1157665537633,13.7790764493696,33.7504846788013,9.86333805536058,68.5631380654055,49.4858053290848,36.6934758199109,24.040001,5540.33
"2010-01-29",49.45,51.0193366373903,29.8505480941306,27.3528028491577,61.0148662872821,33.2002743129175,6.48506530705169,81.2804084037083,27.2152851860369,13.7852972513784,33.8491709760216,9.93412756293494,70.8818706222481,51.2741261357359,36.7956601829537,22.889999,5608.79
"2010-02-01",49.62,51.2315896557584,30.1625747292609,27.5123779143959,61.0907554244554,33.7509130088391,6.50991759053623,81.615815866172,27.3912081672007,13.7230892312909,34.8303096850443,10.10716858145,71.3456171336166,53.072045619499,38.2680439595248,22.58,5654.48
